chs, cq, pinyin, eng, pos
近, jin4, jin4, near, adj, cover=false
脚, jio2, jiao2, foot, n
酒, jiu3, jiu3, wine, n
九, jiu3, jiu3, nine, n
旧, jiu4, jiu4, old, adj
就, jiu4, jiu4, then, conj
卷, juan3, juan3, roll, n
决, jue2, jue2, curse, v
绝, jue2, jue2, absolute, adj
间谍, jian4 die2, jian4 die2, spy cat, n
结果, jie2 guo3, jie2 guo3, matchResult, n
经常, jin1 sang2, jing1 chang2, usually, adj

# K
咔, ka1, ka1, card, v
卡, ka3, ka3, card, v
开, kai1, kai1, open, v
看, kan4, kan4, see, v
克, ke2, ke4, gram, n
客, ke2, ke4, guest, n
科, ko1, ke1, subject, n
壳, ko2, ke2, shell, n
口, kou3, kou3, mouth, n
快, kuai4, kuai4, fast, adv
亏, kui1, kui1, loss, n
鲲, kun1, kun1, sing jump rap basketball, n

# L
拉, la1, la1, pull, v
垃, la1, la1, garbage, n
拿, la2, na2, use, v
那, la4, na4, that, pron
来, lai2, lai2, come, v
奶, lai3, nai3, milk, n
赖, lai4, lai4, lai, name, cover=false
蓝, lan2, lan2, blue, adj
男, lan2, nan2, man, n
南, lan2, nan2, south, n
浪, lang4, lang4, wave, n, eng_default=true
老, lao3, lao3, old, adj
这, le4, zhe4, this, pron
冷, len3, leng3, cold, adj
的, li, de, de, det
力, li2, li4, power, n
里, li3, li3, in, prep
你, li3, ni3, you, pron
脸, lian3, lian3, face, n
尿, liao4, niao4, piss, n
林, lin2, lin2, forest, n
零, lin2, ling2, zero, n
溜, liu1, liu1, run, v
流, liu2, liu2, flow, v
牛, liu2, niu2, cow, n
落, lo2, luo4, fall, v
乐, lo2, le4, happy, adj
龙, long2, long2, dragon, n
绿, lu2, lv4, green, adj
录, lu2, lu4, record, n
路, lu4, lu4, road, n
乱, luan4, luan4, mess, adj
铝, lv3, lv3, aluminum, n
女, lv3, nv3, woman, n
啷个, lang3 go4, lang3 ge4, how to, adv
这个, le4 go4, zhe4 ge4, this, pron
理由, li3 you2, li3 you2, reason, n
凉了, liang2 lao3, liang2 le, gg, v

# M
买, mai3, mai3, buy, v
卖, mai4, mai4, sell, v
毛, mao2, mao2, fur, n
墨, me2, mo4, ink, n
麦, me2, mai4, wheat, n
没, mei1, mei2, no, adj
妹, mei4, mei4, sister, n
绵, mian2, mian2, cotton, n
面, mian4, mian4, noodle, n
明, min2, ming2, bright, adj
末, mo2, mo4, end, adj
莫, mo2, mo4, don't, adv
木, mu2, mu4, wood, n
目, mu2, mu4, eye, n
母, mu3, mu3, female, n
没得, mei1 de2, mei2 de2, no have, adv
母亲, mu3 qin1, mu3 qin1, mother, n

# O
屙, o1, e1, oh, v
恶, o2, e4, evil, adj, cover=false
鹅, o2, e2, goose, n
饿, o4, e4, hungry, adj

# P
, pa1, pa1, soft, adj
跑, pao3, pao3, run, v
泡, pao4, pao4, bubble, n
炮, pao4, pao4, cannon, n
批, pei1, pi1, batch, n
屁, pi4, pi4, ass, n
瓢, piao2, piao2, spoon, n
平, pin2, ping2, flat, adj
坡, po1, po1, slope, n
铺, pu4, pu4, shop, n
屁股, pi4 gu3, pi4 gu3, ass, n
皮肤, pi2 fu1, pi2 fu1, skin, n
