chs, eng_direct, tenseMark, effectiveIndex, effectivePos, preSet, postSet, kwargs

了, already, past, -1, v, ,解: v.understand,
的; 之, de, belong, -1, n;pron;v, 打: v.take n.taxi, 士: n.taxi; 确: v.is v.confirm,  # n/pron加's，v加en
正在, is doing, ing, 1, v, , ,
更, more, better, 1, adj, , ,  # 同一个tenseMark, 中翻英时只考虑第一个
人, person, better, -1, v, , , ignores=chs-geg
最, most, best, 1, adj, , , 
家, home, home, -1, name, , ,
们, all, plural, -1, n;pron, 我: pron.we; 他: pron.they; 她: pron.they; 它: pron.they, ,
